Titles
2nd Engineer
4th Engineer
A Client of Drishti Consultants Pvt. Ltd.
A leading food & hospitality industry
A renowned name into Security Services !!!
ANRI SOLUTIONS HR SERVICES PVT LTD - Recruitment Consultancy
AV Editor
Academic Coordinator
Accessory Designer
Account Director
Accounts Executive/Accountant
Accounts Manager
Actuary Manager
Administration Services/Medical Facilities
Aerial Telecom Solutions Pvt. Ltd.
Affiliate Marketing Manager
Allegis Group India
Anaesthetist
Analyst
Analytical Chemistry Associate/Scientist
Analytical Chemistry Manager
Analytics Manager
Animation Designer
Animation/Graphic Artist
Apparel/Garment Designer
Architect
Area / Territory Manager
Area Sales Manager
Art Director/Senior Art Director
Arts Teacher
Asset Manager
Asset Operations/Documentation-Executive/Manager
Assistant / Associate Marketing Manager
Assistant Director/Director
Assistant Editor/Editor
Assistant Manager/Manager -(NonTechnical)
Assistant Manager/Manager -(Technical)
Assistant Manager/Manager-(NonTechnical)
Assistant Manager/Manager-(Technical)
Assistant Professor
Associate/Senior Associate -(NonTechnical)
Associate/Senior Associate -(Technical)
Audit Manager
Back Office Executive
Banquet Sales Executive/ Manager
Banquet Sales Executive/Manager
Bar Manager
Bartender
Beauty Manager / Beautician
Bid Manager
Bio-Statistician
Bio-Technical Research Associate/Scientist
Bio-Technical Research Manager
Bio/Pharma Informatics-Associate/Scientist
Biology Teacher
Branch Manager
Branch Manager/Regional Manager
Branch Marketing Manager
Broker/Trader
Business Alliances Manager
Business Analyst
Business Content Developer
Business Development Manager
Business Editor
Business/EDP Analyst
CEO/MD/Director
CIO
CRM/Customer Service Manager
CRM/Phone/Internet Banking Executive
CSR Manager
CTO/Head/VP-Technology (Telecom/ISP)
Cabin Crew
Camera Man/Technician
Captain
Cardiologist
Cards-Operations Manager
Cards-Sales Officer/Executive
Carry Forward Agent (CFA)
Cashier
Centre Head / Branch Head / Club Manager
Chancellor
Chartered Accountant
Chef De Partis
Chemical Research Associate/Scientist
Chemical Research Manager
Chemistry Teacher
Chief Engineer
Chief Medical Officer/Head Medical Services
Chief of Bureau/Editor in Chief
Civil Engineer-Highway/Roadway
Civil Engineer-Land Development
Civil Engineer-Municipal
Civil Engineer-Telecom
Civil Engineer-Traffic
Civil Engineer-Water/Wastewater
Claims Executive
Class Teacher / Classroom coordinator
Clearing Officer
Client Relationship Manager
Client Servicing Executive
Client Servicing/Key Account Manager
Clinical Research Associate/Scientist
Clinical Research Manager
Clinical Researcher
Collections Executive
Collections Manager
Collections Officer
Commercial Artist
Commercial Manager
Commis
Company Secretary
Computer Teacher
Construction-Construction Management
Construction-General Building
Construction-Heavy
Construction-Residential
Construction-Specialty
Consulting
Content Developer
Copywriter
Corporate Advisory Manager
Corporate Communication Executive
Corporate Planning/Strategy Manager
Correspondent/Assistant Editor/Associate Editor
Cost Accountant
Counselor
Counter Sales
Creative Director
Credit Analyst-Corporate Banking
Credit Manager-Corporate Banking
Credit Officer
Credit/Control Executive
Credit/Control Manager
Curriculum Designer
Customer Service Executive
Customer Service Manager
Customer Support Engineer/Technician
DBA
Data Analyst
Database Architect/Designer
Datawarehousing Technician
DaycareTeacher / Incharge / Attendant
Dean / Director
Debt Analyst
Debt Instrument Dealer
Deck Cadet
Depository Services-Executive/Manager
Derivatives Dealer
Dermatologist
Design Engineer
Design Engineer/Manager
Dietician/Nutritionist
Direct Marketing Executive
Direct Marketing Manager
Display Marketing Executive
Display Marketing Manager
Documentation/Medical Writing
Documentation/Shipping-Executive/Manager
Domestic Private Banking-Executive/Manager
Draughtsman
Drug Regulatory Director
EA to Chairman/President/VP
EDP Analyst
ENT Specialist
ERP Consultant
Electrical Engineer-Commercial
Electrical Engineer-Industrial
Electrical Engineer-Telecom
Electrical Engineer-Utility
Email Marketing Manager
Embedded Technologies Engineer
Employee Relations Executive
Employee Relations Manager
Engineering Manager
English Teacher
Environment Engineer/Officer
Equity Analyst
Equity Manager
Events/Promotion Executive
Events/Promotion Manager
Executive Sous Chef/Chef De Cuisine
Executive/ Sr Executive - Administration
Executive/ Sr Executive - Facility Management
Executive/Master Chef
F&B Manager
Factory Head
Fashion Content Developer
Fashion Editor
Features Content Developer
Features Editor
Finance Executive
Finance/Budgeting Manager
Financial Accountant
Financial Analyst
Fitness Trainer / Gym Instructor
Footwear Designer
Ford
Forex Dealer
Forex Manager
Formulation Scientist
Freelance Journalist
Freelancer
French Teacher
Fresher
Freshers
Front Desk/Cashier/Billing
Front Office/Guest Relations Executive/Manager
Functional Outside Consultant
Fund Manager-Debt
Fund Manager-Equity
GSM Engineer
General Manager
General Practitioner
Graphic Designer
Graphic/Web Designer
Ground Staff
Guest Service Agent
Gynaeocologist
HOD
HR Business Partner
HR Executive
HR Manager
Hair Stylist
Hardware Design Engineer
Hardware Installation Technician
Head / VP / GM-Taxation
Head / VP/ GM/ National Manager After Sales
Head Nurse / Nursing Superintendent / Clinical Instructor
Head Nurse/Nursing Superintendent/Clinical Instructor
Head Teacher / Head Mistress / Head Master
Head/Manager/GM-Media Planning
Head/VP-Public Relations/Corporate Communication
Head/VP/GM - Analytics & BI
Head/VP/GM-Accounts
Head/VP/GM-Administration & Facilities
Head/VP/GM-Broking
Head/VP/GM-CFO/Financial Controller
Head/VP/GM-Client Servicing
Head/VP/GM-Commercial
Head/VP/GM-Compensation & Benefits
Head/VP/GM-Corporate Advisory
Head/VP/GM-Corporate Planning/Strategy
Head/VP/GM-Credit Risk
Head/VP/GM-Documentation/Shipping
Head/VP/GM-Finance/Audit
Head/VP/GM-HR
Head/VP/GM-Investment Banking
Head/VP/GM-Legal
Head/VP/GM-Marketing
Head/VP/GM-Mergers & Acquisitions
Head/VP/GM-Operations
Head/VP/GM-Private Equity/Hedge Fund/VC
Head/VP/GM-Production
Head/VP/GM-Production/Manufacturing/Maintenance
Head/VP/GM-Project Finance
Head/VP/GM-Public Relations/Corporate Communication
Head/VP/GM-Purchase/Material Management
Head/VP/GM-Quality
Head/VP/GM-Quality Assurance & Quality Control
Head/VP/GM-Quality Assurance/Quality Control
Head/VP/GM-R&D
Head/VP/GM-Recruitment
Head/VP/GM-Regulatory Affairs
Head/VP/GM-Relationships
Head/VP/GM-SCM/Logistics
Head/VP/GM-Sales
Head/VP/GM-Taxation
Head/VP/GM-Technical Support
Head/VP/GM-Technology(IT)/CTO
Head/VP/GM-Tour Management
Head/VP/GM-Training & Development
Head/VP/GM-Transitions
Head/VP/GM-Underwriting
Head/VP/GM/ Mgr-Online/Digital Marketing
Head/VP/GM/National Manager -Sales
Head/VP/GM/National Manager-Sales
Health Club Assistant./Manager
Hepatologist
Hindi Teacher
Hiring for Logistics company
Host/Hostess
Housekeeping Executive/Assistant.
ICWA
IT/Networking-Manager
IT/Technical Content Developer
IT/Technical Editor
Industrial Engineer
Industrial/Labour Relations Manager
Infrastructure & Technology Manager
Institutional Sales/Business Development Manager
Instructional Designer
Insurance Advisor
Insurance Analyst
Insurance Operations Manager
Insurance Operations Officer
Interaction Designer
Interior Designer
Intern
International Marketing Manager
Investment/Treasury Manager
Investor Relationship-Executive/Manager
Jewellery Designer
Journalist
Junior/Primary/Assistant Teacher
Key Account Manager
Lab Assistant
Lab Technician/Medical Technician/Lab Staff
Landscape Architect
Leading LOGISTICS FIRM
Lecturer/Professor
Legal Manager
Legal Officer
Librarian
Lobby/Duty Manager
Logistics Executive
Logistics Manager
Maintenance Engineer
Management Information Systems(MIS)-Manager
Manager - Market Research / Consumer Insights / Industry Analysis
Manager / Sr Manager - Administration
Manager / Sr Manager - Facility Management
Manager Marketing - Internal / External Communication
Managing Editor
Marketing Manager
Marketing Research Executive/Manager
Marketing Research Field Supervisor
Masseur
Material Management Executive/Manager
Mathematics Teacher
Mechanical Engineer-HVAC
Mechanical Engineer-Plumbing/Fire Protection
Mechanical Engineer-Telecom
Media Buying Executive/Manager
Media Planning Executive/Manager
Medical Officer
Medical Representative
Medical Superintendent/Director
Medical Transcriptionist
Merchandiser
Mergers & Acquisitions Manager
Microbiologist
Music Teacher
National Head
Nephrologist
Network Administrator
Network Planning Engineer
Network Planning Manager
Neurologist
Nurse
Nursery Teacher
Nutritionist
Oncologist
Operations Executive
Operations Manager
Operations Officer
Opthamologist
Orthopaedist
Other
Outside Consultant
Outside Technical Consultant
PPC /Pay Per Click Lead
PPC /Pay Per Click Specialist
Pastry Chef
Pathologist
Pay Roll/Compensation Manager
Payroll Executive
Pediatrician
Performance Management Manager
Pharmacist/Chemist/Bio Chemist
Photographer
Physics Teacher
Physiotherapist
Post Sales Consultant
Practical Training/Internship
Practice Head / Practice Manager
Pre Sales Consultant
Principal
Process Engineer-Plant Design
Process Flow Analyst
Product Designer
Product Development Executive
Product Development Manager
Product Executive
Product Manager
Product Manager-Auto/Home Loans
Product/Brand Manager
Production Executive
Production Manager
Program Manager
Project Architect
Project Finance Manager
Project Lead
Project Manager-IT/Software
Project Manager-Production/Manufacturing/Maintenance
Project Manager-Telecom
Proof Reader
Proposal Response Manager
Psychiatrist
Public Relations & Media Relations Manager
Public Relations Executive
Purchase Executive
Purchase Officer
Purchase/Vendor Development Manager
Quality Assurance & Quality Control-Executive
Quality Assurance & Quality Control-Manager
Quality Assurance/Quality Control Executive
Quality Assurance/Quality Control Manager
Quality Coach
R&D Executive
RF Engineer
RF System Designer
RFI / RFP Manager
Radiologic technologists
Radiologist
Recruitment Executive
Recruitment Manager
Regional Manager
Regional Marketing Manager
Regional Sales Manager
Regulatory Affairs Manager
Relationship Executive
Release Manager
Research Associate
Research Scientist
Reservations Executive
Restaurant Manager
Retail Marketing Manager
Retail Store Manager
Safety Officer/Manager
Sales / BD Manager
Sales Coordinator
Sales Executive / Officer
Sales Executive/Investment Advisor
Sales Executive/Officer
Sales Head
Sales Officer
Sales Promotion Manager
Sales Trainer
Sales/Business Development Manager
Sales/Business Development Manager-Broking
Sales/Business Development Manager-Derivatives
Sales/Business Development Manager-Forex
Sales/Business Development-Manager
School Teacher
Science Teacher
Seaman
Search Engine Marketing/SEM Specialist
Search Engine Optimisation /SEO Analyst
